function	10BF	11BF	12BF	13BF	15BF	16BF	17BF	2BF	3BF	4BF	6BF	7BF	8BF	9BF
RXN6666-5	643.2	585.5	306.79	2114.14	178.0	6646.89	559.81	1658.5	6284.83	5053.0	968.64	1277.13	1975.25	244.13
RXN6666-9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0
RXN8J2-136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.88	0.0
RXN8J2-139	53.0	73.0	2.0	14.67	0.0	18.25	39.0	113.0	0.67	82.0	190.67	176.0	264.0	54.33
RXN8J2-140	540.2	231.7	232.75	602.27	31.25	184.85	600.1700000000001	689.25	122.67	336.0	938.92	1289.08	871.9200000000001	463.08
RXNI-2	120.0	259.0	113.0	0.0	4.0	41.66	152.56	141.14	21.71	35.29	183.0	146.29	420.78	61.0
RXNI-3	3.0	74.0	0.0	0.0	3.0	47.04	12.64	23.47	1.71	10.37	0.0	16.29	50.15	0.0
RXNMETA-12671	0.0	1.0	0.0	0.0	0.0	1.29	3.14	0.0	0.0	2.0	0.0	0.0	8.879999999999999	0.0
RXNMETA-12672	0.0	1.0	0.0	0.0	0.0	1.29	3.14	0.0	0.0	2.0	0.0	0.0	8.879999999999999	0.0
RXNN-404	92.0	99.0	0.0	99.0	12.0	102.29	17.14	11.0	60.0	2620.75	60.0	193.0	69.75	0.0
RXNQT-4142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	17.0	0.0	0.0
RXNQT-4165	6645.65	4791.53	6210.68	6846.2	3329.08	10338.53	5319.31	5248.8	8868.49	9243.54	5806.58	6483.67	7299.039999999999	5329.47
RXNQT-4168	6645.65	4791.53	6210.68	6846.2	3329.08	10338.53	5319.31	5248.8	8868.49	9243.54	5806.58	6483.67	7299.039999999999	5329.47
RXNQT-4171	6645.65	4791.53	6210.68	6846.2	3329.08	10338.53	5319.31	5248.8	8868.49	9243.54	5806.58	6483.67	7299.039999999999	5329.47
RXNQT-4174	6645.65	4791.53	6210.68	6846.2	3329.08	10338.53	5319.31	5248.8	8868.49	9243.54	5806.58	6483.67	7299.039999999999	5329.47
RXNQT-4178	6645.65	4791.53	6210.68	6846.2	3329.08	10338.53	5319.31	5248.8	8868.49	9243.54	5806.58	6483.67	7299.039999999999	5329.47
RXNQT-4191	6734.65	4917.2	6065.47	7053.49	3379.08	4669.73	5347.31	5127.47	3116.5600000000004	4933.96	5499.89	6314.92	7137.619999999999	5323.05
RXNQT-4363	47.0	5.0	56.0	0.0	18.0	185.45	75.7	84.56	6.84	21.91	102.0	175.16	108.35	0.0
RXNQT-4366	6.2	146.5	3.54	35.47	0.0	53.0	14.0	215.25	210.0	114.0	568.89	446.3	267.95	283.8
S-2-HYDROXY-ACID-OXIDASE-RXN	294.2	252.5	319.79	1097.03	44.0	283.25	534.17	504.47	53.31	133.37	771.75	872.42	762.76	391.8
S-ADENMETSYN-RXN	7009.65	4837.7	6305.26	7405.809999999999	3441.08	10613.13	5864.31	5959.3	11161.9	10539.04	6853.02	6880.92	8413.289999999999	5993.72
S-ADENOSYLHOMOCYSTEINE-DEAMINASE-RXN	358.7	50.0	182.0	308.1	29.0	184.25	612.0	528.0	156.0	282.0	1180.5	1139.8	1549.45	858.3
S-FORMYLGLUTATHIONE-HYDROLASE-RXN	34.5	1.0	0.0	18.5	3.0	34.29	46.64	32.14	23.71	27.79	34.0	49.29	25.52	77.5
SAICARSYN-RXN	6901.35	4840.7	6382.47	7093.98	3387.33	10543.32	5742.95	5380.1900000000005	8891.619999999999	9613.33	6038.97	6368.01	7210.59	5326.27
SALICYLATE-1-MONOOXYGENASE-RXN	0.0	1.0	0.0	0.0	0.0	1.29	3.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SAMDECARB-RXN	359.2	279.7	160.79	1177.4699999999998	63.0	457.89	966.81	269.64	144.71	185.04	438.64	434.62	248.19	567.0
SARCOX-RXN	149.4	109.0	0.0	75.2	0.0	0.0	119.0	160.0	0.0	13.0	249.0	471.6	325.4	104.6
SEDOBISALDOL-RXN	7993.65	5681.2	7254.47	9420.16	3725.08	12689.17	6952.45	8678.08	12709.66	11585.37	9231.47	9537.5	11054.5	6570.88
SEDOHEPTULOSE-BISPHOSPHATASE-RXN	33.0	0.0	48.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	7.0	20.0	0.0	0.0
