# Constructed from biom file
#OTU ID	10BF	11BF	12BF	13BF	15BF	16BF	17BF	2BF	3BF	4BF	6BF	7BF	8BF	9BF
a36c224792fde6f27c3547e973efa64b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.0	173.0	109.0	159.0	129.0	63.0	100.0
e1ac571ff6c3a444cc3dff242a9d1d9d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	145.0	0.0	0.0	187.0	0.0	205.0	271.0
52ba1a34a6acd34f4441fbb9dfe937b0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	461.0	333.0	0.0	0.0	0.0	0.0
5c7486e85d06a1ffd381573d3c503ac0	0.0	172.0	0.0	379.0	228.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3f6a33710e17f6d52d22a9862024a04a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.0	49.0	53.0	164.0	101.0	56.0	277.0
f3c65f291e2b8d7286222b3dc6ebce56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	261.0	0.0	44.0	94.0	131.0	217.0	23.0
c74b6e79df4af84c5cceed0e392de9bd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	126.0	0.0	0.0	621.0
8eefc3f74b7ddea2d17574bea8b2c137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	195.0	0.0	327.0	187.0
bed19c61a8d638e0b0a579ef2e30004e	19.0	32.0	35.0	255.0	52.0	286.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b76043bd30f220b67da6ceeab6c92b01	247.0	0.0	427.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a56f620d6a6f6dfce498fd7914547a51	305.0	27.0	102.0	233.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21734fc1955c048d726b72727bcb323d	31.0	160.0	69.0	270.0	34.0	0.0	88.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
913a749ba4928fa27c00ccad99d0bb24	324.0	0.0	212.0	101.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c85150e153e01b57213757b470df541c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	248.0	0.0	34.0	134.0	70.0	74.0	0.0
a079656f839c66b4202d7d222e7c987d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	130.0	0.0	13.0	96.0	210.0	35.0	56.0
