Feature ID	Taxon	Confidence
67e23ebf3b239b1ef3b331702a2f5be8	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella_9;s__	0.9985322819834636
f141521f37f03c6850a022c4c4796b25	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__	0.9949263801230102
83bdcff47902299dc25870f2040f7ac0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	0.7742868601315572
c02b97f0c3abf9093efef58ee205b84e	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	0.9979817345051382
922a2896184bd7e04591beb6a564246e	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	0.9062808731914412
ff488f4a567da36e012b04d6048e7b51	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae	0.9985157111325466
9b5e6decbe38f5c7e628f8493e9afbd6	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	0.9959296533301778
14cfaf93f4d169cc516b2dfd98e9fe8e	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_NK4A136_group;s__	0.7027758301232409
ba5be4e7b5b79c8a5ab5b8d87082c2d9	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus;s__	0.9906154575986935
3fac0410a7ff38617b2c0c13cd04ceb7	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus;s__	0.9933648853529505
a6f5ec1297bad2aed85612b1437bec79	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__NK4A214_group;s__	0.8496520619427508
ce363bef68523bab00cda78cd5947e8d	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales	0.999961043120952
40a254272105bd016276f037cb1a83d1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella;s__	0.8156055924024485
038d4e452174f33014b1541226ac736e	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__uncultured;s__	0.8674558581781667
7c0b06aa2dea756f6e788cc591aff08d	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	0.9986029556882074
9c0fad29370d2c7a1a95f02611d4756d	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_torques_group;s__	0.9142974525402069
48bc06bb4adedda657c4b11a98ea48a2	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	0.9607862154448114
