run_accession	fastq_bytes	country
SRR31227747	1168470747;1214346199	South Africa: Agincourt
SRR31227748	1131392999;1189710199	South Africa: Agincourt
SRR31227751	1179622312;1229110082	South Africa: Agincourt
SRR31227752	1008430688;1047910360	South Africa: Agincourt
SRR31227753	1073572486;1122678262	South Africa: Agincourt
SRR31227754	1052158466;1093985502	South Africa: Agincourt
SRR31227759	1125991548;1178912841	South Africa: Agincourt
SRR31227762	1088686867;1132377518	South Africa: Agincourt
SRR31227766	1012283431;1055549933	South Africa: Agincourt
SRR31227767	1214372147;1261796923	South Africa: Agincourt
SRR31227771	1038047811;1105152345	South Africa: Agincourt
SRR31227776	1162769577;1213521161	South Africa: Agincourt
SRR31227777	1276187699;1327775444	South Africa: Agincourt
SRR31227779	1150193851;1211957885	South Africa: Agincourt
SRR31227780	1042859545;1088416331	South Africa: Agincourt
SRR31227781	1021365329;1059170088	South Africa: Agincourt
SRR31227783	1057813142;1104220917	South Africa: Agincourt
SRR31227784	1240071131;1281784965	South Africa: Agincourt
SRR31227931	1046171531;1086540692	Burkina Faso: Nanoro
SRR31227936	1118190396;1138088997	Burkina Faso: Nanoro
SRR31227937	1207126825;1262236474	Burkina Faso: Nanoro
SRR31227938	1171458524;1221491469	Burkina Faso: Nanoro
SRR31227941	994987546;1034168515	Burkina Faso: Nanoro
SRR31227946	1236145410;1262528430	Burkina Faso: Nanoro
SRR31227949	1082198310;1119808784	Burkina Faso: Nanoro
SRR31227952	1108166856;1139998414	Burkina Faso: Nanoro
SRR31227954	1155821777;1208643194	Burkina Faso: Nanoro
SRR31227961	1090531464;1146827837	Burkina Faso: Nanoro
SRR31227968	1185762875;1253440487	Burkina Faso: Nanoro
SRR31227970	1100649578;1136494996	Burkina Faso: Nanoro
SRR31227974	990500240;1031639450	Burkina Faso: Nanoro
SRR31227975	1002819031;1065109430	Burkina Faso: Nanoro
SRR31227977	1216369669;1249718768	Burkina Faso: Nanoro
SRR31227986	1149372230;1204119417	Burkina Faso: Nanoro
SRR31227994	1142064698;1194837449	Burkina Faso: Nanoro
SRR31227995	1240038869;1324354268	Burkina Faso: Nanoro
SRR31227996	1058044644;1097663556	Burkina Faso: Nanoro
SRR31228002	1759071694;1829164833	Burkina Faso: Nanoro
SRR31228006	1061756139;1107823392	Burkina Faso: Nanoro
SRR31228008	1185030268;1232775167	Burkina Faso: Nanoro
SRR31228011	1063131365;1128802682	Burkina Faso: Nanoro
SRR31228021	1069825911;1110547918	Burkina Faso: Nanoro
SRR31228023	1162994337;1217653940	Burkina Faso: Nanoro
SRR31228025	1229505196;1297705111	Burkina Faso: Nanoro
SRR31228028	913129460;942747911	Burkina Faso: Nanoro
SRR31228031	1052724524;1097407655	Burkina Faso: Nanoro
SRR31228034	1092508821;1115736947	Burkina Faso: Nanoro
SRR31228038	1363980567;1447640259	Burkina Faso: Nanoro
SRR31228042	1057124634;1106840307	Burkina Faso: Nanoro
SRR31228045	1160423788;1210749959	Burkina Faso: Nanoro
SRR31228048	313542580;327769844	Burkina Faso: Nanoro
SRR31228049	1030590529;1080354514	Burkina Faso: Nanoro
SRR31228050	1028961011;1076237417	Burkina Faso: Nanoro
SRR31228051	1050275983;1075518810	Burkina Faso: Nanoro
SRR31228056	1022648121;1066135047	Burkina Faso: Nanoro
SRR31228057	1088020638;1124079912	Burkina Faso: Nanoro
SRR31228060	1233149883;1310456584	Burkina Faso: Nanoro
SRR31228064	1231485086;1287724717	Burkina Faso: Nanoro
SRR31228067	1135272854;1184721546	Burkina Faso: Nanoro
SRR31228068	1255069203;1330455245	Burkina Faso: Nanoro
SRR31228072	1156996067;1175664883	Burkina Faso: Nanoro
SRR31228079	1207124027;1237725662	Burkina Faso: Nanoro
SRR31228082	1146229742;1193052294	Burkina Faso: Nanoro
SRR31228084	1046701226;1069058033	Burkina Faso: Nanoro
SRR31228085	1053967811;1110586495	Burkina Faso: Nanoro
SRR31228086	1229433681;1268011282	Burkina Faso: Nanoro
SRR31228091	1049723141;1080695750	Burkina Faso: Nanoro
SRR31228101	1436981207;1501922487	Burkina Faso: Nanoro
SRR31228106	1161408260;1221446149	Burkina Faso: Nanoro
SRR31228109	1116461978;1154272275	Burkina Faso: Nanoro
SRR31228115	1124632529;1164715485	Burkina Faso: Nanoro
SRR31228119	1091583415;1131930663	Burkina Faso: Nanoro
SRR31228123	1126437233;1182341876	Burkina Faso: Nanoro
SRR31228125	1220398308;1291400336	Burkina Faso: Nanoro
SRR31228127	1083363277;1117033224	Burkina Faso: Nanoro
