run_accession	sample_accession	sample_alias	sample_title	country	location
SRR31228103	SAMN43550212	BF305	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228104	SAMN43550211	BF304	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228110	SAMN43550178	BF270	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228113	SAMN43550175	BF267	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228114	SAMN43550174	BF266	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228117	SAMN43550171	BF263	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228120	SAMN43550169	BF261	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228122	SAMN43550167	BF259	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228128	SAMN43550161	BF253	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228131	SAMN43550159	BF251	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228133	SAMN43550157	BF249	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228139	SAMN43550065	BF156	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228140	SAMN43550064	BF155	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228141	SAMN43550063	BF154	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228144	SAMN43550060	BF151	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228154	SAMN43550051	BF142	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228155	SAMN43550050	BF141	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228157	SAMN43550049	BF140	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228161	SAMN43550045	BF136	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228162	SAMN43550044	BF135	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228163	SAMN43550043	BF134	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228164	SAMN43550042	BF133	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228166	SAMN43550040	BF131	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228167	SAMN43549923	BF014	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228174	SAMN43549931	BF022	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228175	SAMN43550119	BF210	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228176	SAMN43550118	BF209	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228179	SAMN43550115	BF206	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228180	SAMN43550114	BF205	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228182	SAMN43550112	BF203	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228183	SAMN43550111	BF202	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228190	SAMN43550106	BF197	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228193	SAMN43550103	BF194	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228194	SAMN43550102	BF193	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228197	SAMN43549929	BF020	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228202	SAMN43550095	BF186	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228207	SAMN43550090	BF181	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228209	SAMN43550089	BF180	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228213	SAMN43550085	BF176	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228214	SAMN43550084	BF175	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228216	SAMN43550082	BF173	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228217	SAMN43550081	BF172	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228222	SAMN43550077	BF168	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228226	SAMN43550073	BF164	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228229	SAMN43550070	BF161	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228233	SAMN43550067	BF158	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228234	SAMN43550066	BF157	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
