run_accession	sample_accession	sample_alias	sample_title	fastq_ftp
SRR13378560	SAMN17250504	bftm2701	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/060/SRR13378560/SRR13378560_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/060/SRR13378560/SRR13378560_2.fastq.gz
SRR13378561	SAMN17250503	bftm2604	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/061/SRR13378561/SRR13378561_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/061/SRR13378561/SRR13378561_2.fastq.gz
SRR13378562	SAMN17250502	bftm2602	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/062/SRR13378562/SRR13378562_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/062/SRR13378562/SRR13378562_2.fastq.gz
SRR13378563	SAMN17250501	bftm2601	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/063/SRR13378563/SRR13378563_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/063/SRR13378563/SRR13378563_2.fastq.gz
SRR13378565	SAMN17250499	bftm2503	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/065/SRR13378565/SRR13378565_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/065/SRR13378565/SRR13378565_2.fastq.gz
SRR13378571	SAMN17250494	bftm2302	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/071/SRR13378571/SRR13378571_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/071/SRR13378571/SRR13378571_2.fastq.gz
SRR13378578	SAMN17250487	bftm2103	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/078/SRR13378578/SRR13378578_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/078/SRR13378578/SRR13378578_2.fastq.gz
SRR13378580	SAMN17250486	bftm2102	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/080/SRR13378580/SRR13378580_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/080/SRR13378580/SRR13378580_2.fastq.gz
SRR13378581	SAMN17250485	bftm2101	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/081/SRR13378581/SRR13378581_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/081/SRR13378581/SRR13378581_2.fastq.gz
SRR13378583	SAMN17250483	bftm2002	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/083/SRR13378583/SRR13378583_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/083/SRR13378583/SRR13378583_2.fastq.gz
SRR13378586	SAMN17250480	bftm1902	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/086/SRR13378586/SRR13378586_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/086/SRR13378586/SRR13378586_2.fastq.gz
SRR13378589	SAMN17250477	bftm1802	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/089/SRR13378589/SRR13378589_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/089/SRR13378589/SRR13378589_2.fastq.gz
SRR13378590	SAMN17250432	bftm0203	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/090/SRR13378590/SRR13378590_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/090/SRR13378590/SRR13378590_2.fastq.gz
SRR13378591	SAMN17250476	bftm1702	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/091/SRR13378591/SRR13378591_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/091/SRR13378591/SRR13378591_2.fastq.gz
SRR13378592	SAMN17250475	bftm1701	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/092/SRR13378592/SRR13378592_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/092/SRR13378592/SRR13378592_2.fastq.gz
SRR13378593	SAMN17250474	bftm1603	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/093/SRR13378593/SRR13378593_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/093/SRR13378593/SRR13378593_2.fastq.gz
SRR13378598	SAMN17250469	bftm1501	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/098/SRR13378598/SRR13378598_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/098/SRR13378598/SRR13378598_2.fastq.gz
SRR13378600	SAMN17250467	bftm1403	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/000/SRR13378600/SRR13378600_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/000/SRR13378600/SRR13378600_2.fastq.gz
SRR13378602	SAMN17250466	bftm1402	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/002/SRR13378602/SRR13378602_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/002/SRR13378602/SRR13378602_2.fastq.gz
SRR13378605	SAMN17250463	bftm1301	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/005/SRR13378605/SRR13378605_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/005/SRR13378605/SRR13378605_2.fastq.gz
SRR13378606	SAMN17250462	bftm1204	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/006/SRR13378606/SRR13378606_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/006/SRR13378606/SRR13378606_2.fastq.gz
SRR13378607	SAMN17250461	bftm1202	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/007/SRR13378607/SRR13378607_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/007/SRR13378607/SRR13378607_2.fastq.gz
SRR13378612	SAMN17250430	bftm0201	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/012/SRR13378612/SRR13378612_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/012/SRR13378612/SRR13378612_2.fastq.gz
SRR13378614	SAMN17250455	bftm1003	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/014/SRR13378614/SRR13378614_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/014/SRR13378614/SRR13378614_2.fastq.gz
SRR13378616	SAMN17250453	bftm1001	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/016/SRR13378616/SRR13378616_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/016/SRR13378616/SRR13378616_2.fastq.gz
